"Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"GUY",1998,19.0380301070137,52.7052349472415,52.670284918733,12354571.6292226,11646561.0975143,11646235.3335191,208780.1,452381388.2,452172608.1,4.83040646828329,0.0241317731393633,8.67,-162.837319104183,-7.66287578583384
"GUY",2008,14.2322607418986,73.9958313023675,73.9048336430915,11362626.6636775,13210028.1939037,13210935.7640211,250078.6,531057349.6,530807271,4.40213613734741,0.02565309030837,8.53222222222222,-104.688207351878,-7.09502607545557
"HTI",1968,33.0318086864124,67.2828550051071,67.0719532069172,3637559.78345405,6490280.49297751,6496592.6744042,1038432.2,469059689.8,468021257.6,12.4376758229472,0.000523115000441969,4.003,-92.7026691193438,-8.88511225757422
"HTI",1978,28.6695978265352,35.8391167350415,35.8162133837362,3363952.94439255,8034774.4991605,8045814.35307802,1154956.8,489800111.8,488645155,14.1573176464715,0.00158325750682439,4.686,-76.9205217693023,-6.78913911451093
"HTI",1988,87.4085699330896,43.5089250729424,43.5112827373631,3306540.75832137,8954205.38294085,8966305.86423363,1142485.3,532578263.9,531435778.6,15.7965000368569,0.00338417721518987,5.712,-55.8848805686401,-5.4036165829421
"HTI",1998,45.1625507763669,53.3028154396539,53.1458354950126,3244869.53036229,10088029.813951,10101178.2677252,1117421.9,583390165.9,582272744,15.7754190664321,0.0057826810990841,5.633,-68.0384957631,-5.89890599538739
"HND",1968,17.0656218128558,56.5508824999586,56.5403089390089,4560834.38395617,6147655.36786398,6149310.59451432,690903,688974178.9,688283275.9,6.39871346997502,0.00808846563498528,2.133,-67.9797932176907,-6.09216883309114
"HND",1978,21.0191292176694,45.2299161626299,45.1678909722678,5437758.74205378,7701590.75438156,7704025.12118484,768272.9,724788686.1,724020413.2,6.95244838819923,0.00837968246793604,2.019,-67.5609403902307,-10.5823115955419
"HND",1988,19.1887940405463,49.8609148326395,49.8255160624173,5735607.54168516,8957490.12977414,8961491.9778118,900465.8,733548146.5,732647680.7,7.01164992877316,0.0182027313148423,2.104,-84.4811864634866,-5.4186865554708
"HND",1998,22.2081966633048,61.6472658568857,61.6185017517605,6205244.3454108,9766963.68216976,9770874.63152566,976659.5,892460815.8,891484156.3,7.62916145020385,0.0559571981881442,2.597,-79.1716318709926,-6.54392658404463
