"Area","timePeriod","cluster","cv0","yield0","cv1","yield1","cv2","yield2","cv3","yield3","cv4","yield4","cv5","yield5","cv6","yield6","cv7","yield7","cv8","yield8","cv9","yield9"
"Brunei Darussalam",1977,2,0.130825609439026,2568962.85551802,0.0455840970008453,6251084.08691909,0.0235349830401802,5848973.14865788,0.0397996706720005,11837247.3959557,0.0576764737670048,6554311.86955555,0.0327920325862929,6283405.08317851,0.0241381075433508,6379054.21310549,0.0630839415470591,12318846.8742734,0.0680089315681286,13700155.6731284,0.130825609439026,2568962.85551802
"Burma",1985,2,0.0448991556611068,6259311.41076468,0.0228368869798902,6250162.0319867,0.0192813822562557,5806814.92086718,0.0858758526828925,11405835.6522785,0.0748822310564779,5369557.89516121,0.0210996384045802,6002049.9965506,0.0364341601109545,7219432.77404226,0.0363324759484575,11233048.3623654,0.0415419737860737,7920530.20364127,0.0448991556611068,6259311.41076468
"Viet Nam",1993,2,0.0124178918230934,9290765.65210329,0.0324497581010292,6843304.91923658,0.0136766522029425,6883375.93920124,0.0775415864180486,15131234.1176642,0.0760889346489254,7196940.00427141,0.0165088201510053,6550414.43880414,0.0173462169236526,8929525.18359965,0.0301560697921684,12284326.3334134,0.027999936290526,10179366.3141159,0.0124178918230934,9290765.65210329
"Philippines",1985,2,0.0521674030116923,6105604.25346625,0.025484030243714,7354096.0269753,0.021128395286914,6043885.13264121,0.104436223913315,15462301.12506,0.135650513157923,5410034.21473684,0.0206693744060939,5994531.64973106,0.0229910099360064,6190681.98761281,0.0208950469840964,11321463.7137544,0.0470746139494405,8176516.06416903,0.0521674030116923,6105604.25346625
"Comoros",1961,2,0.0380855677259453,5815053.74784662,0.0279833005325248,4640433.2337337,0.144781123020398,3633698.2540875,0.0280260599587725,5883414.68606758,0.0603953919142564,5369224.85159372,0.041137280639161,4048306.70237342,0.0366040525978884,3032195.35118664,0.0347176704509404,9646097.98306355,0.0382648010648652,9239330.34599327,0.0380855677259453,5815053.74784662
"Guadeloupe",1961,2,0.0544879378332594,14676887.9358446,0.0275119317230128,4529317.87414822,0.134472510012691,4881287.28818225,0.0518730990430849,9715604.74424993,0.0539616504226468,5065446.2535704,0.0233904348286744,4191815.93891354,0.0242395480344308,3959232.9420097,0.0426908352176609,8869127.69986571,0.0375556744919561,8788562.49596163,0.0544879378332594,14676887.9358446
"Samoa",1961,2,0.129791602789741,5698800.33148289,0.0294225312587337,6796965.63661319,0.0890885797093654,6531530.62037232,0.0390663336998777,4115038.93782631,0.0468671020661992,9201579.99142828,0.0330598001440813,5633910.0371069,0.0245688386683007,5314357.58644152,0.0436459975470806,7393514.15393832,0.0331110856627859,5559671.46015531,0.129791602789741,5698800.33148289
"Somalia",2001,2,0.135387028863865,2533791.478543,0.0144538299648749,8790397.09993035,0.019141294342255,8148103.07047014,0.0457060250792069,16367643.0726284,0.0661066746462124,7644345.78835429,0.0182644566503043,10468137.5728273,0.021103670285905,8596027.99537173,0.0499573736721979,13556924.352155,0.0540861239446514,12558249.75836,0.135387028863865,2533791.478543
"Benin",1961,2,0.0353767665780171,3188853.68217697,0.0255426493605042,4373331.74655807,0.109617458514287,3588741.04913811,0.0256937714500566,5612273.02859271,0.0453077305907314,4833739.26659365,0.0368459020334614,3077929.53924554,0.0321236502745091,2829053.88233668,0.035378673813436,8217773.42304709,0.0335218730438104,8246429.69312221,0.0353767665780171,3188853.68217697
"Western Sahara",2001,2,0.0375060676104573,2460817.22330599,0.0217898320599262,6497134.9827443,0.40835688019242,2769008.89300292,0.0519742749622329,9162397.85332793,0.154372757445154,5673527.92001539,0.0466955858365682,7217773.68959382,0.103501866835249,5707671.63796463,0.0979502870058679,9861821.06584532,0.0666806256914916,9861771.54687247,0.0375060676104573,2460817.22330599
"Djibouti",1961,2,0.0412335268404368,1127093.52984798,0.006779217648752,1335796.46662008,0.0168058254854428,1581373.74541173,0.0336017451576527,2390893.41876647,0.041238519666147,1551160.27125321,0.0193637944574232,1336606.92089202,0.170386959429454,1402544.01029014,0.0283943355407041,3008576.14484499,0.0147936757823927,2578702.0953671,0.0412335268404368,1127093.52984798
"Bangladesh",1977,2,0.0297461282829839,5544960.05034188,0.0342042446956482,5804698.41862651,0.0215155514277423,4860205.90053188,0.0727780536991844,12234618.6535576,0.0612652299311691,4757745.42723289,0.0290517674642512,4663260.38343216,0.0338601427671981,4410579.51075624,0.0487167087169282,9733602.4433846,0.0516538258232502,9563735.64392108,0.0297461282829839,5544960.05034188
"Solomon Islands",1985,2,0.172468602096116,11427215.2519067,0.0206160520577598,8442660.24600609,0.018766466788844,6968911.41797822,0.0351967842099139,11762075.3617748,0.0477092722300787,3673976.84389049,0.0250528465334971,7263716.64237272,0.0291326043438008,6273040.14045009,0.0242836039705913,13705905.1311142,0.0340992128789707,8917937.51654723,0.172468602096116,11427215.2519067
"Djibouti",1969,2,0.0583592377027605,1056053.34847272,0.0119248328873506,1434538.77579722,0.0234115503931568,1899233.34794239,0.0148561566007836,2917857.64009575,0.0440574415422726,1713146.85441667,0.00717075331579243,1190841.59656924,0.0108839766364061,1777874.92836662,0.0379911729352663,3263252.06249371,0.0723054123595095,2947117.34127912,0.0583592377027605,1056053.34847272
"Viet Nam",1985,2,0.0310304085847134,7491391.13848036,0.0227728044970774,6907529.19284757,0.0170308507926214,6523018.92433958,0.109819275470794,15951301.3909437,0.14839002251839,5922020.47142232,0.0200523465961546,6462886.95576494,0.0283955517625865,6584028.29389678,0.0220725755012737,11891116.5228093,0.052148093134516,9316765.76358151,0.0310304085847134,7491391.13848036
"Solomon Islands",1993,2,0.0725787609078222,13034531.2556742,0.0331679136583318,10118440.2618765,0.0152465693878011,8325019.93270507,0.0309041717583653,8549159.84436538,0.0968078963823011,4629062.69861872,0.0264723443510824,7230425.18914276,0.0169109229090043,11953873.2148283,0.0208657324651497,13908802.5570049,0.0253159289490867,11706468.7711631,0.0725787609078222,13034531.2556742
"El Salvador",1993,2,0.0655829340540812,6770776.10008655,0.0360636572573288,7174599.75740231,0.0146651010135768,7386773.41404269,0.0770096034403336,15222354.02671,0.0789416068431161,6726197.66452335,0.0180428426913938,6630946.53109089,0.0210153281441327,8739311.29413881,0.0299225577279642,12227780.2740784,0.0297201170108604,9816119.00387874,0.0655829340540812,6770776.10008655
"Saudi Arabia",2001,2,0.0724569088294149,12587874.3518884,0.0343881280316394,4010149.51808971,0.114209907148768,4809696.14348795,0.0431347076185188,15443207.6505767,0.0812014364883448,7123021.34999655,0.0194412229422231,8600941.19068025,0.0237357350303103,8361327.68599172,0.0620926043968983,11974391.0963856,0.0534162721157348,11402418.9550172,0.0724569088294149,12587874.3518884
"Sao Tome and Principe",1977,2,0.0583136082196134,2328816.0473415,0.0481037597620176,8101880.96341801,0.0636103611275039,4432342.78343821,0.124792491265528,20142330.6642082,0.0644862655006739,7964805.41044243,0.0262917571726829,5204358.22554363,0.053768944351179,4194769.49020905,0.0340915520867845,11855898.0078467,0.0426758599677553,10245514.7159723,0.0583136082196134,2328816.0473415
"Yemen",1961,2,0.0162692032553956,2689391.79658384,0.0209446303761208,3749271.09000795,0.12337672937096,4020959.62888436,0.0522179488926564,6933081.94168474,0.0592477344540808,3778567.28771769,0.0254304526117783,2637680.75571712,0.0398917464266826,3161604.23160131,0.0271204799566643,6473570.41976152,0.0328612190426379,7388937.57282607,0.0162692032553956,2689391.79658384
"Niger",1969,2,0.122573864520385,1270939.15746363,0.0230716525720653,5400333.29150102,0.0354351248551784,4274430.70111426,0.0422721834437469,6477610.17198967,0.050915569052907,4928773.38367592,0.0298136534065967,4269631.1852006,0.0370101867727286,3937202.84553697,0.0412976571435583,8850853.65893157,0.0198533291310245,6790833.17279152,0.122573864520385,1270939.15746363
"Oman",1977,2,0.025570629924968,4644923.67770429,0.0240861104555078,4666825.15945859,0.0435347636663732,4152427.3673806,0.0404494694154849,8115492.34907096,0.104869686716195,4246822.15000153,0.0375839860700772,4903099.50773817,0.0597182176532575,4997129.84497424,0.0702151533954221,8326385.39756691,0.0608362589859362,8276288.08823123,0.025570629924968,4644923.67770429
"Cambodia",1961,2,0.118422715535111,3284459.17372264,0.0265698117852658,4599447.71476738,0.120899365365236,4832540.78880877,0.0270813001570977,5971075.19363682,0.0494656201792181,5919520.45188681,0.0275892551581543,4024870.8435777,0.013061677542307,4163607.39398859,0.0368835329003474,8074590.54103821,0.0356475134053839,8493548.8625195,0.118422715535111,3284459.17372264
"Cuba",1961,2,0.157822092436578,8687679.93452367,0.026615967592351,4534697.65242548,0.111179561067332,4135678.83680109,0.0457917421259957,8888923.75740824,0.040084774143631,5185623.88389283,0.026165871859299,3682946.20079954,0.0156778112974635,3761746.17615699,0.0332078541936625,8553301.90604955,0.034495397134957,9343421.08199054,0.157822092436578,8687679.93452367
"Puerto Rico",1977,2,0.07164658596729,7050156.90449662,0.0316957283430754,6767202.62747858,0.0213450274433126,5849456.83336306,0.119525958558845,19836481.4912936,0.049635716451974,8740079.3763146,0.0258976421366913,6228555.31780883,0.0354163730066298,6385511.82662546,0.0481380361962695,12433169.9052488,0.0429392943536726,13154527.8208361,0.07164658596729,7050156.90449662
"Guadeloupe",1977,2,0.0853992260779839,11855488.7586767,0.0273684457126586,8018546.11829467,0.0175971416267606,5109121.29081214,0.122636084104202,19816208.1963324,0.0506703230056188,7829642.0864281,0.0197836453923718,5893779.34072637,0.0378922039710117,4899430.69586554,0.0317070669294704,11590400.2033561,0.0297676698737975,9329209.64783061,0.0853992260779839,11855488.7586767
"Niger",1977,2,0.142643557439376,1313042.55976039,0.036681396919207,6234204.35297599,0.0256461718068279,4801553.86517297,0.0806379259774037,12812091.5278459,0.0626571203754618,5146885.43694664,0.0278516928376107,5037563.54562254,0.0344354263868999,4705991.85061584,0.0497495911116312,10086125.0401346,0.0471122748582179,10628779.1762947,0.142643557439376,1313042.55976039
"Western Sahara",2009,2,0.0709191063794875,1887953.73737547,0.215623146986049,10298193.5688587,0.405319659468974,3930450.80860667,0.0529841628612779,12248930.2037683,0.039653743082089,8781912.64514334,0.0381737132039739,8164994.43197572,0.537176475466739,6439840.95625844,0.0534093365313425,10038975.0551624,0.0762136220560912,8232557.72944231,0.0709191063794875,1887953.73737547
"Guinea-Bissau",2001,2,0.100094842039436,2875558.00394802,0.0149848429980992,8802572.86390721,0.0228943666558905,8089666.12755832,0.0469307626718157,25794467.608102,0.0511243273182511,10901663.7958976,0.0189977046270887,9725631.73561854,0.026464726354363,7819943.74916711,0.0510431474508498,16455174.3242482,0.0620042901903971,14963053.5067481,0.100094842039436,2875558.00394802
"Guinea-Bissau",1969,2,0.0313253753411396,2668752.11860877,0.0192085909705487,5567125.74490868,0.0397525658382344,4616004.17432668,0.0985894626152526,6790404.66726132,0.064297927744161,6564399.33115473,0.0340734817024964,4293599.0490085,0.0473352025308281,3901845.47747747,0.0417980038099612,10831663.8745023,0.0267200314548007,8000817.27498119,0.0313253753411396,2668752.11860877
"Puerto Rico",1969,2,0.0523665116533264,9689013.26561345,0.0191072029311793,5723681.57685875,0.0439638102944065,5391445.75436524,0.0956133582653158,6878152.30203595,0.0624542893304707,8729487.94354378,0.0165923355262719,5485354.59815899,0.0428454243510434,5581789.48752129,0.0431550479155066,11712115.6240791,0.0216154868569131,9271792.00911753,0.0523665116533264,9689013.26561345
