"stability","yield","areaHarvested","prop","timePeriod","Level"
33.8342827488971,6033365.54154252,438731629.4,0.7,1978,"AFG"
43.6107638555764,6803336.64704461,578596666,0.7,1978,"AFG"
38.297851862038,8528792.80316604,528688870.2,0.7,1978,"AFG"
37.4222688492677,8500944.76171271,522831064,0.7,1978,"AFG"
43.1862196162231,7130059.87578784,451617844.4,0.7,1978,"AFG"
37.3656000544545,8125047.30730768,548947415.3,0.8,1978,"AFG"
42.108988984917,7783211.28270931,628533417.3,0.8,1978,"AFG"
42.02540179248,7765628.11882456,458968477.7,0.8,1978,"AFG"
48.9267835234255,7504213.43837782,514450802.4,0.8,1978,"AFG"
42.5733676017409,7691234.99194785,677552156.3,0.8,1978,"AFG"
38.3207427306568,8335556.3386474,590197665.4,0.9,1978,"AFG"
42.3959853687031,7711956.24214173,711363880.7,0.9,1978,"AFG"
