"Region","Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec","sdTemp","sdPrec"
"FR30","FRA",1978,16.7648157869601,18.7281786201603,18.3193257589002,25183.8478436089,14737.5306487811,14531.6769214501,264840,13706530,13441690,2.74525546237334,0.119648161439206,4.68,-18.9567566702617,-11.6403704384294,0.305235657049762,0.242791506271065
"FR23","FRA",1978,15.1827469807729,18.7281786201603,18.6153655206356,22939.7496080658,14737.5306487811,14662.58031583,125180,13706530,13581350,2.90175265538844,0.119648161439206,4.68,-19.3833454937567,-11.7427217334385,0.128311826840666,0.536986823522085
"FR71","FRA",1978,7.4132740497555,18.9821980339405,19.119743713381,12412.9745493206,13809.2093573883,13820.8629085459,125540,15002650,14877110,2.80216422313808,0.119648161439206,4.68,-19.8606700281516,-11.1820580887556,5.65370338368473,2.2491271913045
"FR41","FRA",1978,8.41996774975602,18.7281786201603,19.0375661713769,13783.6435846194,14737.5306487811,14754.0450510886,235430,13706530,13471100,1.70195852291739,0.119648161439206,4.68,-17.4861367744233,-9.04631367313559,0.225472225434569,1.03622623206565
"FR24","FRA",1978,10.8939777527138,18.9821980339405,19.2729643005323,14383.7100124317,13809.2093573883,13791.2221321066,478120,15002650,14524530,2.92980602089259,0.119648161439206,4.68,-19.9569268243705,-9.54413871669948,0.194833410997228,0.263029444416323
"FR72","FRA",1978,8.76111680577598,18.9821980339405,19.0371253468746,12691.13667005,13809.2093573883,13816.5748709058,97500,15002650,14905150,2.51826416149661,0.119648161439206,4.68,-17.9152299411568,-6.7660171414867,3.0425389874874,2.17647897573859
"FR42","FRA",1978,11.4796128117046,18.7281786201603,18.7540759629014,17225.966129879,14737.5306487811,14728.9181749606,47520,13706530,13659010,2.61567097045002,0.119648161439206,4.68,-18.3449262568618,-9.61775538789288,1.39177723827263,2.10301503280265
"FR22","FRA",1978,17.2975385575651,18.7281786201603,17.996509463083,28623.0998371029,14737.5306487811,14308.3791174134,411550,13706530,13294980,2.94322986814943,0.119648161439206,4.68,-17.6600323120772,-10.9542868221009,0.104262690519923,0.258438289270558
"FR81","FRA",1978,10.0673934222494,14.475303962228,14.4539825758487,9042.95391946377,11777.7241179141,11787.3025353042,46940,13852610,13805670,3.22389043680531,0.119648161439206,4.68,-26.1695206692808,-6.88478238956311,5.45789432360449,2.92904542343774
"FR43","FRA",1978,4.74013701188014,18.7281786201603,18.9424527068753,13028.7636518834,14737.5306487811,14746.7121713679,74080,13706530,13632450,1.79093865523402,0.119648161439206,4.68,-16.6245502964848,-12.8064644202072,2.377018018153,4.30373870067521
"FR26","FRA",1978,8.09033195373834,18.9821980339405,19.5109662232437,14310.8957347912,13809.2093573883,13797.3686203873,328940,15002650,14673710,2.24116771519012,0.119648161439206,4.68,-19.7448852336081,-8.57929290875234,0.424214679456156,0.599722332158169
"FR52","FRA",1978,9.36809038930336,13.8207708709607,13.8061566198842,14553.4355734943,12512.6187789385,12481.7254419305,188680,12308950,12120270,1.65784448892705,0.119648161439206,4.68,-22.5879745029491,-8.33763823440773,0.261629423045975,1.05412328757895
"FR63","FRA",1978,7.29537226861227,13.8207708709607,13.8231167831367,9595.08746474909,12512.6187789385,12520.3961387891,32900,12308950,12276050,1.7216683657842,0.119648161439206,4.68,-21.1651605460828,-10.4176041583029,0.692561573414128,1.53685106451027
"FR51","FRA",1978,12.879695891635,18.9821980339405,18.9697342471761,12336.0646291124,13809.2093573883,13821.4373852236,123360,15002650,14879290,2.45840835535711,0.119648161439206,4.68,-20.475408055486,-8.68528856850786,0.403710931157246,0.410606102559439
"FR83","FRA",1978,8.87245399030709,13.7644483638064,13.7632051776544,9184.18181818182,12456.9677395002,12457.2399917718,960,11640180,11639220,1.9353558331679,0.119648161439206,4.68,-28.9404723972092,-9.21750348321127,0.119304864962194,1.02953156062215
"FR82","FRA",1978,13.2272625176959,14.475303962228,14.4425994757582,11334.9120364319,11777.7241179141,11779.6489020111,55940,13852610,13796670,3.07238746956223,0.119648161439206,4.68,-22.2232892598539,-8.221965541301,8.85172728270806,1.46133344645034
"FR53","FRA",1978,8.36499187508055,14.1229644572377,14.0440827631819,10941.3477989326,11700.4687685435,11718.4163290928,304640,13605070,13300430,2.35706706774614,0.119648161439206,4.68,-23.6849851170496,-8.94452757192492,0.2622429616522,0.274326594940561
"FR61","FRA",1988,9.04686373327168,17.5806111765053,17.5584314199194,21448.0619100578,15163.0507802977,15100.8441945908,149570,14632260,14482690,3.4896677488662,0.127477807834468,7.447,-22.5461384548963,-7.73157417749874,0.664305369094318,2.1488214378305
"FR53","FRA",1988,16.086539953435,17.5806111765053,17.3332902468291,14691.8664555961,15163.0507802977,15178.6327156585,466980,14632260,14165280,3.43258910121889,0.127477807834468,7.447,-20.527430635707,-6.38129859012009,0.362372626020771,0.446258835182231
"FR83","FRA",1988,6.68387921348103,15.5723933027292,15.5698515982516,9883.32913752914,14000.6410411656,14001.0888958181,1060,9474120,9473060,1.69698975401951,0.127477807834468,7.447,-34.8075635078515,-10.7191091581967,0.154404463945584,0.9972890197166
"FR71","FRA",1988,15.4176774705178,21.5806625806162,21.4500176241765,22070.3273671249,17183.5088564229,17130.326367691,171900,15880470,15708570,4.03595228341354,0.127477807834468,7.447,-21.3791514031996,-6.18754039858715,5.58181536804082,2.22736009013731
"FR82","FRA",1988,21.8122421209773,17.8451626713602,17.7754513345369,12911.9350532574,15190.0424702331,15197.6705411477,49880,14931430,14881550,4.2808619916151,0.127477807834468,7.447,-27.3126711532982,-5.32507339977402,8.57770617662423,1.41550069594098
"FR81","FRA",1988,17.1229928375901,17.8451626713602,17.7919329190597,9511.59570378049,15190.0424702331,15210.5522097249,52980,14931430,14878450,4.15010870596606,0.127477807834468,7.447,-25.5418019313632,-4.60075367520937,5.428737134168,2.74603380189104
"FR72","FRA",1988,25.8271923143546,21.5806625806162,21.4886727863094,18299.7377462213,17183.5088564229,17175.9865843437,105030,15880470,15775440,4.31416731133388,0.127477807834468,7.447,-18.1480350529313,-5.97276545514365,2.88953730396206,2.21655277062387
"FR42","FRA",1988,11.0619657798272,21.5806625806162,21.612490842891,34112.1091562272,17183.5088564229,17134.7013350963,46530,15880470,15833940,4.61583469781138,0.127477807834468,7.447,-15.6954590297328,-7.23387032576318,1.34902917613635,2.10353309873736
"FR23","FRA",1988,22.5712102754909,21.5806625806162,21.3391430741085,30691.4584136869,17183.5088564229,17025.8193229103,183090,15880470,15697380,4.40358647530467,0.127477807834468,7.447,-17.6477979463075,-5.66312512362901,0.150025044170662,0.622560878322631
"FR63","FRA",1988,6.08131775237128,17.5806111765053,17.6058485185149,24575.3003194321,15163.0507802977,15129.1346985294,52420,14632260,14579840,2.6691035016916,0.127477807834468,7.447,-18.970310548571,-6.44328406820837,0.712160964450297,1.75758762919218
"FR62","FRA",1988,14.9648000113025,17.5806111765053,17.4261794391204,13428.533421517,15163.0507802977,15211.7452844872,398030,14632260,14234230,3.33662939101629,0.127477807834468,7.447,-20.8468007640802,-7.02630603421466,4.25444728071199,2.00349914250446
"FR52","FRA",1988,9.21558256175936,17.5806111765053,16.54064360641,31860.9157644726,15163.0507802977,14619.0574682588,467540,14632260,14164720,2.27706975243024,0.127477807834468,7.447,-20.0583837925207,-7.22940076439873,0.327530876793868,1.2093390024665
"FR10","FRA",1988,14.3596070285377,21.5806625806162,21.5663931061743,26665.5897750856,17183.5088564229,17094.4713470605,148370,15880470,15732100,4.13160318541081,0.127477807834468,7.447,-17.9092570519811,-7.14326305147814,0.0945233533448898,0.117641898255781
"FR41","FRA",1988,16.8186970368776,21.5806625806162,21.6201513262617,21446.8405182871,17183.5088564229,17094.5222162501,323890,15880470,15556580,3.08076950721054,0.127477807834468,7.447,-16.340936918037,-7.56843611850306,0.304995108665607,0.814906742935599
"FR25","FRA",1988,8.9834915998183,21.5806625806162,21.2444250157172,38006.1168860445,17183.5088564229,16872.2649726506,233030,15880470,15647440,2.36363565140483,0.127477807834468,7.447,-19.3191263214547,-5.64325448191013,0.224081244003187,0.408919018252147
"FR24","FRA",1988,14.170141448476,21.5806625806162,21.6860674428648,16800.1054098171,17183.5088564229,17198.788843339,583520,15880470,15296950,4.10425983710596,0.127477807834468,7.447,-18.5289824569817,-6.75656286568528,0.170254994254643,0.435216268903415
"FR43","FRA",1988,19.3468065763969,21.5806625806162,21.4614049541462,23398.9033760845,17183.5088564229,17148.5203901395,89970,15880470,15790500,3.65022718850804,0.127477807834468,7.447,-17.2085530572719,-8.99450397489189,2.37044695547522,4.09161536880374
"FR26","FRA",1988,20.8565935264061,21.5806625806162,21.3025676271905,17374.6997073788,17183.5088564229,17179.2955622695,375480,15880470,15504990,3.79224056692334,0.127477807834468,7.447,-19.1841529848663,-6.75432294667658,0.381603752280621,0.700721735720671
"FR51","FRA",1988,5.16470178682707,21.5806625806162,21.6062855749109,27159.9151721572,17183.5088564229,16874.1943824707,489970,15880470,15390500,2.45890241196072,0.127477807834468,7.447,-19.0466345979843,-6.22053386553017,0.348484109963011,0.323518821296154
"FR21","FRA",1988,36.0548822967337,21.5806625806162,20.9836686149207,26658.6505150359,17183.5088564229,16898.9350557986,462920,15880470,15417550,4.53075483546641,0.127477807834468,7.447,-16.5579975064616,-7.01375241243492,0.228337978021485,0.699193694790667
"FR30","FRA",1988,20.9224991558278,25.4424389264589,25.4392066860785,34227.4847019566,19251.7945539065,18939.0625116318,280410,13653330,13372920,4.21641546809807,0.127477807834468,7.447,-15.7811387935956,-5.9034378754592,0.245870609898022,0.437216525040655
"FR22","FRA",1988,24.6083459539098,21.5806625806162,21.1137936695497,34279.1724290202,17183.5088564229,16704.9167396822,433380,15880470,15447090,4.34722569306353,0.127477807834468,7.447,-15.9201836610051,-7.21904790747237,0.127555055530799,0.4209278401618
